"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
bicolor,rush,hybrid,Sorghum,,,,,,,,,,.
x,Juncus,Sorghum,bicolor,,,,,,,,,,cinnamomiPhytophthora
Sorghum,effusus,bicolor,x,,,,,,,,,,citricola
bicolor,sorghum,x,Sorghum,,,,,,,,,,Phytophthora
varsudanese,x,Sorghum,bicolor,,,,,,,,,,citrophthora
soybean,sudangrass,bicolor,varsudanese,,,,,,,,,,Phytophthora
Glycine,hybrid,varsudanese,soybean,,,,,,,,,,colocasiae
max,Sorghum,soybean,Glycine,,,,,,,,,,Phytophthora
spike,bicolor,Glycine,max,,,,,,,,,,cryptogea
rush,x,max,spike,,,,,,,,,,Phytophthora
Eleocharis,Sorghum,spike,rush,,,,,,,,,,drechsleri
geniculata,bicolor,rush,Eleocharis,,,,,,,,,,Phytophthora
St,varsudanese,Eleocharis,geniculata,,,,,,,,,,erythroseptica
Augustinegrass,soybean,geniculata,St,,,,,,,,,,Phytophthora
Stenotaphrum,Glycine,St,Augustinegrass,,,,,,,,,,europaea
secondatum,max,Augustinegrass,Stenotaphrum,,,,,,,,,,Phytophthora
sunn,spike,Stenotaphrum,secondatum,,,,,,,,,,fragariae
hemp,rush,secondatum,sunn,,,,,,,,,,Phytophthora
Crotalaria,Eleocharis,sunn,hemp,,,,,,,,,,fragariae
juncea,geniculata,hemp,Crotalaria,,,,,,,,,,var
cv,St,Crotalaria,juncea,,,,,,,,,,.
Tropic,Augustinegrass,juncea,cv,,,,,,,,,,fragariaePhytophthora
Sun,Stenotaphrum,cv,Tropic,,,,,,,,,,gonapodyides
swamp,secondatum,Tropic,Sun,,,,,,,,,,Phytophthora
mahogany,sunn,Sun,swamp,,,,,,,,,,infestans
Eucalyptus,hemp,swamp,mahogany,,,,,,,,,,Phytophthora
robusta,Crotalaria,mahogany,Eucalyptus,,,,,,,,,,katsurae
sweet,juncea,Eucalyptus,robusta,,,,,,,,,,Phytophthora
clover,cv,robusta,sweet,,,,,,,,,,lateralis
Melitotus,Tropic,sweet,clover,,,,,,,,,,Phytophthora
sp,Sun,clover,Melitotus,,,,,,,,,,medicaginis
tall,swamp,Melitotus,sp,,,,,,,,,,Phytophthora
erythrina,mahogany,sp,tall,,,,,,,,,,megasperma
Erythrina,Eucalyptus,tall,erythrina,,,,,,,,,,Phytophthora
variegata,robusta,erythrina,Erythrina,,,,,,,,,,nicotianae
cv,sweet,Erythrina,variegata,,,,,,,,,,Phytophthora
Tropic,clover,variegata,cv,,,,,,,,,,nicotianae
Coral,Melitotus,cv,Tropic,,,,,,,,,,var
tamarind,sp,Tropic,Coral,,,,,,,,,,.
Tamarindus,tall,Coral,tamarind,,,,,,,,,,nicotianaePhytophthora
indica,erythrina,tamarind,Tamarindus,,,,,,,,,,palmivora
threeflower,Erythrina,Tamarindus,indica,,,,,,,,,,Phytophthora
beggarweed,variegata,indica,threeflower,,,,,,,,,,phaseoli
Desmodium,cv,threeflower,beggarweed,,,,,,,,,,Phytophthora
triflorum,Tropic,beggarweed,Desmodium,,,,,,,,,,pseudosyringae
ti,Coral,Desmodium,triflorum,,,,,,,,,,Phytophthora
Cordyline,tamarind,triflorum,ti,,,,,,,,,,quercetorum
fruticosa,Tamarindus,ti,Cordyline,,,,,,,,,,Phytophthora
uhaloa,indica,Cordyline,fruticosa,,,,,,,,,,sojae
escobilla,threeflower,fruticosa,uhaloa,,,,,,,,,,Phytophthora
sabana,beggarweed,uhaloa,escobilla,,,,,,,,,,syringae
waltheria,Desmodium,escobilla,sabana,,,,,,,,,,Phytophthora
Waltheria,triflorum,sabana,waltheria,,,,,,,,,,tropicalis
indica,ti,waltheria,Waltheria,,,,,,,,,,Piptoporus
ulei,Cordyline,Waltheria,indica,,,,,,,,,,betulinus
Osteomeles,fruticosa,indica,ulei,,,,,,,,,,Placosphaeria
anthyllidifolia,uhaloa,ulei,Osteomeles,,,,,,,,,,haydenii
trailing,escobilla,Osteomeles,anthyllidifolia,,,,,,,,,,Plasmodiophora
African,sabana,anthyllidifolia,trailing,,,,,,,,,,brassicae
daisy,waltheria,trailing,African,,,,,,,,,,Plasmopara
Osteospermum,Waltheria,African,daisy,,,,,,,,,,halstedii
fruticosum,indica,daisy,Osteospermum,,,,,,,,,,Plasmopara
vetch,ulei,Osteospermum,fruticosum,,,,,,,,,,viburni
woolypod,Osteomeles,fruticosum,vetch,,,,,,,,,,Plasmopara
Vicia,anthyllidifolia,vetch,woolypod,,,,,,,,,,viticola
villosa,trailing,woolypod,Vicia,,,,,,,,,,Plectosporium
ssp,African,Vicia,villosa,,,,,,,,,,tabacinum
varia,daisy,villosa,ssp,,,,,,,,,,Plenodomus
cv,Osteospermum,ssp,varia,,,,,,,,,,destruens
Lana,fruticosum,varia,cv,,,,,,,,,,Pleospora
vetivergrass,vetch,cv,Lana,,,,,,,,,,eturmiuna
Chrysopogon,woolypod,Lana,vetivergrass,,,,,,,,,,Pleospora
zizanioides,Vicia,vetivergrass,Chrysopogon,,,,,,,,,,herbarum
syn,villosa,Chrysopogon,zizanioides,,,,,,,,,,Pleospora
Vetiveria,ssp,zizanioides,syn,,,,,,,,,,tarda
zizanioides,varia,syn,Vetiveria,,,,,,,,,,Pleurotus
cv,cv,Vetiveria,zizanioides,,,,,,,,,,elongatipes
Sunshine,Lana,zizanioides,cv,,,,,,,,,,Pleurotus
wheat,vetivergrass,cv,Sunshine,,,,,,,,,,ostreatus
Triticum,Chrysopogon,Sunshine,wheat,,,,,,,,,,Pleurotus
aestivum,zizanioides,wheat,Triticum,,,,,,,,,,ulmarius
white,syn,Triticum,aestivum,,,,,,,,,,Ploioderma
clover,Vetiveria,aestivum,white,,,,,,,,,,lethale
Trifolium,zizanioides,white,clover,,,,,,,,,,Podosphaera
repens,cv,clover,Trifolium,,,,,,,,,,aphanis
wild,Sunshine,Trifolium,repens,,,,,,,,,,Podosphaera
cane,wheat,repens,wild,,,,,,,,,,clandestina
hybrid,Triticum,wild,cane,,,,,,,,,,Podosphaera
Saccharum,aestivum,cane,hybrid,,,,,,,,,,fuliginea
hybrid,white,hybrid,Saccharum,,,,,,,,,,Podosphaera
clone,clover,Saccharum,hybrid,,,,,,,,,,fusca
Moentai,Trifolium,hybrid,clone,,,,,,,,,,Podosphaera
wiliwili,repens,clone,Moentai,,,,,,,,,,leucotricha
Erythrina,wild,Moentai,wiliwili,,,,,,,,,,Podosphaera
sandwicensis,cane,wiliwili,Erythrina,,,,,,,,,,macularis
zoysia,hybrid,Erythrina,sandwicensis,,,,,,,,,,Podosphaera
Zoysia,Saccharum,sandwicensis,zoysia,,,,,,,,,,pannosa
japonica,hybrid,zoysia,Zoysia,,,,,,,,,,Podosphaera
Cyperus,clone,Zoysia,japonica,,,,,,,,,,xanthii
polystachyos,Moentai,japonica,Cyperus,,,,,,,,,,Polymyxa
Fimbristylis,wiliwili,Cyperus,polystachyos,,,,,,,,,,betae
littoralis,Erythrina,polystachyos,Fimbristylis,,,,,,,,,,Polyporus
Scleria,sandwicensis,Fimbristylis,littoralis,,,,,,,,,,arcularius
sp,zoysia,littoralis,Scleria,,,,,,,,,,Polyporus
bTable,Zoysia,Scleria,sp,,,,,,,,,,circinatus
O,japonica,sp,bTable,,,,,,,,,,Polyporus
List,Cyperus,bTable,O,,,,,,,,,,osseus
of,polystachyos,O,List,,,,,,,,,,Polyporus
Plant,Fimbristylis,List,of,,,,,,,,,,spumeus
Pictures,littoralis,of,Plant,,,,,,,,,,Polyporus
by,Scleria,Plant,Pictures,,,,,,,,,,squamosus
Scientific,sp,Pictures,by,,,,,,,,,,Postia
Name,bTable,by,Scientific,,,,,,,,,,placenta
Scientific,O,Scientific,Name,,,,,,,,,,Prospodium
Name,List,Name,Scientific,,,,,,,,,,appendiculatum
Common,of,Scientific,Name,,,,,,,,,,Protoventuria
Name,Plant,Name,Common,,,,,,,,,,myrtilli
Page,Pictures,Common,Name,,,,,,,,,,Pseudocercospora
Sunshine,by,Name,Page,,,,,,,,,,abelmoschi
syn,Scientific,Page,Sunshine,,,,,,,,,,Pseudocercospora
Vetiveria,Name,Sunshine,syn,,,,,,,,,,rhapisicola
zizanioides,Scientific,syn,Vetiveria,,,,,,,,,,Pseudocercospora
Cibotium,Name,Vetiveria,zizanioides,,,,,,,,,,ubi
menziesii,Common,zizanioides,Cibotium,,,,,,,,,,Pseudocercospora
hapu,Name,Cibotium,menziesii,,,,,,,,,,vitis
u,Page,menziesii,hapu,,,,,,,,,,Pseudocercosporella
tree,Sunshine,hapu,u,,,,,,,,,,capsellae
fern,syn,u,tree,,,,,,,,,,Pseudocercosporella
Citrus,Vetiveria,tree,fern,,,,,,,,,,herpotrichoides
lycopersicaeformis,zizanioides,fern,Citrus,,,,,,,,,,Pseudoepicoccum
heen,Cibotium,Citrus,lycopersicaeformis,,,,,,,,,,cocos
naran,menziesii,lycopersicaeformis,heen,,,,,,,,,,Pseudoperonospora
seedy,hapu,heen,naran,,,,,,,,,,cubensis
tangerine,u,naran,seedy,,,,,,,,,,Pseudopeziza
Coccolba,tree,seedy,tangerine,,,,,,,,,,medicaginis
uvifera,fern,tangerine,Coccolba,,,,,,,,,,Pseudopeziza
sea,Citrus,Coccolba,uvifera,,,,,,,,,,trifolii
grape,lycopersicaeformis,uvifera,sea,,,,,,,,,,Pseudoseptoria
Cocos,heen,sea,grape,,,,,,,,,,stomaticola
nucifera,naran,grape,Cocos,,,,,,,,,,Puccinia
coconut,seedy,Cocos,nucifera,,,,,,,,,,allii
niu,tangerine,nucifera,coconut,,,,,,,,,,Puccinia
lius,Coccolba,coconut,niu,,,,,,,,,,andropogonis
iru,uvifera,niu,lius,,,,,,,,,,Puccinia
lu,sea,lius,iru,,,,,,,,,,angustata
ni,grape,iru,lu,,,,,,,,,,Puccinia
niyog,Cocos,lu,ni,,,,,,,,,,antirrhini
nizok,nucifera,ni,niyog,,,,,,,,,,Puccinia
nu,coconut,niyog,nizok,,,,,,,,,,aristidae
Cocos,niu,nizok,nu,,,,,,,,,,Puccinia
nucifera,lius,nu,Cocos,,,,,,,,,,asparagi
dwarf,iru,Cocos,nucifera,,,,,,,,,,Puccinia
coconut,lu,nucifera,dwarf,,,,,,,,,,baccharidis
niu,ni,dwarf,coconut,,,,,,,,,,Puccinia
lius,niyog,coconut,niu,,,,,,,,,,cacabata
iru,nizok,niu,lius,,,,,,,,,,Puccinia
lu,nu,lius,iru,,,,,,,,,,calcitrapae
ni,Cocos,iru,lu,,,,,,,,,,var
niyog,nucifera,lu,ni,,,,,,,,,,.
nizok,dwarf,ni,niyog,,,,,,,,,,centaureaePuccinia
nu,coconut,niyog,nizok,,,,,,,,,,canaliculata
Codium,niu,nizok,nu,,,,,,,,,,Puccinia
variegatum,lius,nu,Codium,,,,,,,,,,caricina
croton,iru,Codium,variegatum,,,,,,,,,,Puccinia
Coix,lu,variegatum,croton,,,,,,,,,,cnici-oleracei
lachryma,ni,croton,Coix,,,,,,,,,,Puccinia
jobs,niyog,Coix,lachryma,,,,,,,,,,coronata
tears,nizok,lachryma,jobs,,,,,,,,,,Puccinia
Cordia,nu,jobs,tears,,,,,,,,,,cryptandri
subcordata,Codium,tears,Cordia,,,,,,,,,,Puccinia
kou,variegatum,Cordia,subcordata,,,,,,,,,,cynodontis
niyoron,croton,subcordata,kou,,,,,,,,,,Puccinia
tauanave,Coix,kou,niyoron,,,,,,,,,,dioicae
galu,lachryma,niyoron,tauanave,,,,,,,,,,Puccinia
koa,jobs,tauanave,galu,,,,,,,,,,emaculata
kalau,tears,galu,koa,,,,,,,,,,Puccinia
ikoik,Cordia,koa,kalau,,,,,,,,,,graminis
ikoak,subcordata,kalau,ikoik,,,,,,,,,,Puccinia
anau,kou,ikoik,ikoak,,,,,,,,,,graminis
Cordyline,niyoron,ikoak,anau,,,,,,,,,,ssp
fruticosa,tauanave,anau,Cordyline,,,,,,,,,,.
ti,galu,Cordyline,fruticosa,,,,,,,,,,graminisPuccinia
Crotalaria,koa,fruticosa,ti,,,,,,,,,,helianthi
juncea,kalau,ti,Crotalaria,,,,,,,,,,Puccinia
cv,ikoik,Crotalaria,juncea,,,,,,,,,,hemerocallidis
Tropic,ikoak,juncea,cv,,,,,,,,,,Puccinia
Sun,anau,cv,Tropic,,,,,,,,,,heucherae
sunn,Cordyline,Tropic,Sun,,,,,,,,,,Puccinia
hemp,fruticosa,Sun,sunn,,,,,,,,,,hieracii
Croton,ti,sunn,hemp,,,,,,,,,,Puccinia
reflexifolius,Crotalaria,hemp,Croton,,,,,,,,,,hordei
colpachi,juncea,Croton,reflexifolius,,,,,,,,,,Puccinia
croton,cv,reflexifolius,colpachi,,,,,,,,,,iridis
Cryptomaria,Tropic,colpachi,croton,,,,,,,,,,Puccinia
japonica,Sun,croton,Cryptomaria,,,,,,,,,,lantanae
Japanese,sunn,Cryptomaria,japonica,,,,,,,,,,Puccinia
sugi,hemp,japonica,Japanese,,,,,,,,,,malvacearum
pine,Croton,Japanese,sugi,,,,,,,,,,Puccinia
Cunninghamia,reflexifolius,sugi,pine,,,,,,,,,,menthae
lanceolata,colpachi,pine,Cunninghamia,,,,,,,,,,Puccinia
Chinese,croton,Cunninghamia,lanceolata,,,,,,,,,,montanensis
fir,Cryptomaria,lanceolata,Chinese,,,,,,,,,,Puccinia
Cupressus,japonica,Chinese,fir,,,,,,,,,,nakanishikii
lusitanica,Japanese,fir,Cupressus,,,,,,,,,,Puccinia
Portuguese,sugi,Cupressus,lusitanica,,,,,,,,,,paspalicola
Mexican,pine,lusitanica,Portuguese,,,,,,,,,,Puccinia
cypress,Cunninghamia,Portuguese,Mexican,,,,,,,,,,pelargonii-zonalis
Cupressus,lanceolata,Mexican,cypress,,,,,,,,,,Puccinia
macrocarpa,Chinese,cypress,Cupressus,,,,,,,,,,peridermiospora
California,fir,Cupressus,macrocarpa,,,,,,,,,,Puccinia
cypress,Cupressus,macrocarpa,California,,,,,,,,,,podophylli
Cupressus,lusitanica,California,cypress,,,,,,,,,,Puccinia
sempervirons,Portuguese,cypress,Cupressus,,,,,,,,,,polygoni-amphibii
Italian,Mexican,Cupressus,sempervirons,,,,,,,,,,Puccinia
cypress,cypress,sempervirons,Italian,,,,,,,,,,polysora
Cymbopogon,Cupressus,Italian,cypress,,,,,,,,,,Puccinia
citratus,macrocarpa,cypress,Cymbopogon,,,,,,,,,,psidii
lemongrass,California,Cymbopogon,citratus,,,,,,,,,,Puccinia
Cynodon,cypress,citratus,lemongrass,,,,,,,,,,punctiformis
dactylon,Cupressus,lemongrass,Cynodon,,,,,,,,,,Puccinia
common,sempervirons,Cynodon,dactylon,,,,,,,,,,purpurea
Bermudagrass,Italian,dactylon,common,,,,,,,,,,Puccinia
Cynodon,cypress,common,Bermudagrass,,,,,,,,,,recondita
dactylon,Cymbopogon,Bermudagrass,Cynodon,,,,,,,,,,Puccinia
giant,citratus,Cynodon,dactylon,,,,,,,,,,schedonnardii
Bermudagrass,lemongrass,dactylon,giant,,,,,,,,,,Puccinia
Cynodon,Cynodon,giant,Bermudagrass,,,,,,,,,,sessilis
nlemfuensis,dactylon,Bermudagrass,Cynodon,,,,,,,,,,Puccinia
cv,common,Cynodon,nlemfuensis,,,,,,,,,,silphii
Florico,Bermudagrass,nlemfuensis,cv,,,,,,,,,,Puccinia
Puerto,Cynodon,cv,Florico,,,,,,,,,,similis
Rican,dactylon,Florico,Puerto,,,,,,,,,,Puccinia
stargrass,giant,Puerto,Rican,,,,,,,,,,sorghi
Cyperus,Bermudagrass,Rican,stargrass,,,,,,,,,,Puccinia
javanicus,Cynodon,stargrass,Cyperus,,,,,,,,,,sparganioides
ahu,nlemfuensis,Cyperus,javanicus,,,,,,,,,,Puccinia
awa,cv,javanicus,ahu,,,,,,,,,,striiformis
marsh,Florico,ahu,awa,,,,,,,,,,Puccinia
cypress,Puerto,awa,marsh,,,,,,,,,,striiformis
Cyperus,Rican,marsh,cypress,,,,,,,,,,f.sp
polystachyos,stargrass,cypress,Cyperus,,,,,,,,,,.
Dactylis,Cyperus,Cyperus,polystachyos,,,,,,,,,,triticiPuccinia
glomerata,javanicus,polystachyos,Dactylis,,,,,,,,,,subnitens
orchardgrass,ahu,Dactylis,glomerata,,,,,,,,,,Puccinia
Desmodium,awa,glomerata,orchardgrass,,,,,,,,,,tanaceti
heterophyllum,marsh,orchardgrass,Desmodium,,,,,,,,,,Puccinia
hetero,cypress,Desmodium,heterophyllum,,,,,,,,,,thaliae
Desmodium,Cyperus,heterophyllum,hetero,,,,,,,,,,Puccinia
intortum,polystachyos,hetero,Desmodium,,,,,,,,,,triticina
or,Dactylis,Desmodium,intortum,,,,,,,,,,Race
Desmodium,glomerata,intortum,or,,,,,,,,,,BBG/BNPuccinia
aparines,orchardgrass,or,Desmodium,,,,,,,,,,vincae
intortum,Desmodium,Desmodium,aparines,,,,,,,,,,Puccinia
desmodium,heterophyllum,aparines,intortum,,,,,,,,,,violae
Desmodium,hetero,intortum,desmodium,,,,,,,,,,Puccinia
triflorum,Desmodium,desmodium,Desmodium,,,,,,,,,,vulgaris
threeflower,intortum,Desmodium,triflorum,,,,,,,,,,Pucciniastrum
beggarweed,or,triflorum,threeflower,,,,,,,,,,agrimoniae
Dichondra,Desmodium,threeflower,beggarweed,,,,,,,,,,Pucciniastrum
repens,aparines,beggarweed,Dichondra,,,,,,,,,,americanum
dichondra,intortum,Dichondra,repens,,,,,,,,,,Pucciniastrum
Digitaria,desmodium,repens,dichondra,,,,,,,,,,epilobii
eriantha,Desmodium,dichondra,Digitaria,,,,,,,,,,Pucciniastrum
cv,triflorum,Digitaria,eriantha,,,,,,,,,,goeppertianum
Pangola,threeflower,eriantha,cv,,,,,,,,,,Pyrenophora
digitgrass,beggarweed,cv,Pangola,,,,,,,,,,graminea
Digitaria,Dichondra,Pangola,digitgrass,,,,,,,,,,Pyrenophora
eriantha,repens,digitgrass,Digitaria,,,,,,,,,,teres
cv,dichondra,Digitaria,eriantha,,,,,,,,,,Pyrenophora
Transvala,Digitaria,eriantha,cv,,,,,,,,,,teres
digitgrass,eriantha,cv,Transvala,,,,,,,,,,f.
Dimorphotheca,cv,Transvala,digitgrass,,,,,,,,,,maculataPyrenophora
sinuata,Pangola,digitgrass,Dimorphotheca,,,,,,,,,,teres
cape,digitgrass,Dimorphotheca,sinuata,,,,,,,,,,f.
marigold,Digitaria,sinuata,cape,,,,,,,,,,teresPyrenophora
Dodonaea,eriantha,cape,marigold,,,,,,,,,,tritici-repentis
viscosa,cv,marigold,Dodonaea,,,,,,,,,,Pyrofomes
a,Transvala,Dodonaea,viscosa,,,,,,,,,,demidoffii
ali,digitgrass,viscosa,a,,,,,,,,,,Pythium
i,Dimorphotheca,a,ali,,,,,,,,,,aphanidermatum
lampuye,sinuata,ali,i,,,,,,,,,,Pythium
Dracaena,cape,i,lampuye,,,,,,,,,,arrhenomanes
fragans,marigold,lampuye,Dracaena,,,,,,,,,,Pythium
dracaena,Dodonaea,Dracaena,fragans,,,,,,,,,,cryptoirregulare
Echinochloa,viscosa,fragans,dracaena,,,,,,,,,,Pythium
colona,a,dracaena,Echinochloa,,,,,,,,,,debaryanum
jungle,ali,Echinochloa,colona,,,,,,,,,,Pythium
rice,i,colona,jungle,,,,,,,,,,dissotocum
Echinochloa,lampuye,jungle,rice,,,,,,,,,,Pythium
crusgalli,Dracaena,rice,Echinochloa,,,,,,,,,,echinulatum
barnyardgrass,fragans,Echinochloa,crusgalli,,,,,,,,,,Pythium
Eleocharis,dracaena,crusgalli,barnyardgrass,,,,,,,,,,graminicola
geniculata,Echinochloa,barnyardgrass,Eleocharis,,,,,,,,,,Pythium
spike,colona,Eleocharis,geniculata,,,,,,,,,,helicoides
rush,jungle,geniculata,spike,,,,,,,,,,Pythium
Eragrostis,rice,spike,rush,,,,,,,,,,irregulare
variabilis,Echinochloa,rush,Eragrostis,,,,,,,,,,Pythium
emoloa,crusgalli,Eragrostis,variabilis,,,,,,,,,,iwayamai
kawelu,barnyardgrass,variabilis,emoloa,,,,,,,,,,Pythium
lovegrass,Eleocharis,emoloa,kawelu,,,,,,,,,,myriotylum
Eremochloa,geniculata,kawelu,lovegrass,,,,,,,,,,Pythium
ophiuroides,spike,lovegrass,Eremochloa,,,,,,,,,,oligandrum
centipedegrass,rush,Eremochloa,ophiuroides,,,,,,,,,,Pythium
Erythrina,Eragrostis,ophiuroides,centipedegrass,,,,,,,,,,paroecandrum
sandwicensis,variabilis,centipedegrass,Erythrina,,,,,,,,,,Pythium
wiliwili,emoloa,Erythrina,sandwicensis,,,,,,,,,,rostratifingens
Erythrina,kawelu,sandwicensis,wiliwili,,,,,,,,,,Pythium
variegata,lovegrass,wiliwili,Erythrina,,,,,,,,,,spinosum
cv,Eremochloa,Erythrina,variegata,,,,,,,,,,Pythium
Tropic,ophiuroides,variegata,cv,,,,,,,,,,splendens
Coral,centipedegrass,cv,Tropic,,,,,,,,,,Pythium
tall,Erythrina,Tropic,Coral,,,,,,,,,,sylvaticum
erythrina,sandwicensis,Coral,tall,,,,,,,,,,Pythium
Eucalyptus,wiliwili,tall,erythrina,,,,,,,,,,torulosum
camaldulensis,Erythrina,erythrina,Eucalyptus,,,,,,,,,,Pythium
riverredgum,variegata,Eucalyptus,camaldulensis,,,,,,,,,,ultimum
eucalyptus,cv,camaldulensis,riverredgum,,,,,,,,,,Pythium
Eucalyptus,Tropic,riverredgum,eucalyptus,,,,,,,,,,ultimum
dunnii,Coral,eucalyptus,Eucalyptus,,,,,,,,,,var
Dunn,tall,Eucalyptus,dunnii,,,,,,,,,,.
s,erythrina,dunnii,Dunn,,,,,,,,,,sporangiiferumPythium
eucalyptus,Eucalyptus,Dunn,s,,,,,,,,,,ultimum
Eucalyptus,camaldulensis,s,eucalyptus,,,,,,,,,,var
robusta,riverredgum,eucalyptus,Eucalyptus,,,,,,,,,,.
swamp,eucalyptus,Eucalyptus,robusta,,,,,,,,,,ultimumPythium
mahogany,Eucalyptus,robusta,swamp,,,,,,,,,,vanterpoolii
Eucalyptus,dunnii,swamp,mahogany,,,,,,,,,,Pythium
torreliana,Dunn,mahogany,Eucalyptus,,,,,,,,,,vexans
cadaga,s,Eucalyptus,torreliana,,,,,,,,,,Pythium
Fagopyrum,eucalyptus,torreliana,cadaga,,,,,,,,,,volutum
esculentum,Eucalyptus,cadaga,Fagopyrum,,,,,,,,,,Radulodon
buckwheat,robusta,Fagopyrum,esculentum,,,,,,,,,,americanus
Filicium,swamp,esculentum,buckwheat,,,,,,,,,,Ramularia
decipiens,mahogany,buckwheat,Filicium,,,,,,,,,,pusilla
ferntree,Eucalyptus,Filicium,decipiens,,,,,,,,,,Ramularia
Fimbristylis,torreliana,decipiens,ferntree,,,,,,,,,,rosea
littoralis,cadaga,ferntree,Fimbristylis,,,,,,,,,,Ramulispora
Flueggea,Fagopyrum,Fimbristylis,littoralis,,,,,,,,,,sorghi
flexuosa,esculentum,littoralis,Flueggea,,,,,,,,,,Rhabdocline
poumuli,buckwheat,Flueggea,flexuosa,,,,,,,,,,pseudotsugae
Fragaria,Filicium,flexuosa,poumuli,,,,,,,,,,Rhizoctonia
chiloensis,decipiens,poumuli,Fragaria,,,,,,,,,,fragariae
ohelo,ferntree,Fragaria,chiloensis,,,,,,,,,,Rhizoctonia
papa,Fimbristylis,chiloensis,ohelo,,,,,,,,,,oryzae
Gliricidia,littoralis,ohelo,papa,,,,,,,,,,Rhizoctonia
sepium,Flueggea,papa,Gliricidia,,,,,,,,,,solani
gliricidia,flexuosa,Gliricidia,sepium,,,,,,,,,,Rhizoctonia
madra,poumuli,sepium,gliricidia,,,,,,,,,,zeae
de,Fragaria,gliricidia,madra,,,,,,,,,,Rhizopus
cacao,chiloensis,madra,de,,,,,,,,,,arrhizus
Glycine,ohelo,de,cacao,,,,,,,,,,Rhizopus
max,papa,cacao,Glycine,,,,,,,,,,artocarpi
soybean,Gliricidia,Glycine,max,,,,,,,,,,Rhizopus
Gossypium,sepium,max,soybean,,,,,,,,,,stolonifer
tomentosum,gliricidia,soybean,Gossypium,,,,,,,,,,Rhizosphaera
ma,madra,Gossypium,tomentosum,,,,,,,,,,kalkhoffii
o,de,tomentosum,ma,,,,,,,,,,Rhizosphaera
Hawaiian,cacao,ma,o,,,,,,,,,,pini
cotton,Glycine,o,Hawaiian,,,,,,,,,,Rhynchosporium
Hemarthria,max,Hawaiian,cotton,,,,,,,,,,secalis
altissima,soybean,cotton,Hemarthria,,,,,,,,,,Rhytidiella
cv,Gossypium,Hemarthria,altissima,,,,,,,,,,baranyayi
Bigalta,tomentosum,altissima,cv,,,,,,,,,,Rhytisma
limpograss,ma,cv,Bigalta,,,,,,,,,,acerinum
Hemerocallis,o,Bigalta,limpograss,,,,,,,,,,Rhytisma
aurantiaca,Hawaiian,limpograss,Hemerocallis,,,,,,,,,,americanum
day,cotton,Hemerocallis,aurantiaca,,,,,,,,,,Rhytisma
lily,Hemarthria,aurantiaca,day,,,,,,,,,,punctatum
Hetropogon,altissima,day,lily,,,,,,,,,,Rhytisma
contortus,cv,lily,Hetropogon,,,,,,,,,,salicinum
piligrass,Bigalta,Hetropogon,contortus,,,,,,,,,,Rhytisma
tanglehead,limpograss,contortus,piligrass,,,,,,,,,,vitis
Hibiscus,Hemerocallis,piligrass,tanglehead,,,,,,,,,,Rigidoporus
arnottianus,aurantiaca,tanglehead,Hibiscus,,,,,,,,,,microporus
var,day,Hibiscus,arnottianus,,,,,,,,,,Schizophyllum
punaluensis,lily,arnottianus,var,,,,,,,,,,commune
Oahu,Hetropogon,var,punaluensis,,,,,,,,,,Schizopora
white,contortus,punaluensis,Oahu,,,,,,,,,,paradoxa
hibiscus,piligrass,Oahu,white,,,,,,,,,,Schizothyrium
Hibiscus,tanglehead,white,hibiscus,,,,,,,,,,pomi
rosasinensis,Hibiscus,hibiscus,Hibiscus,,,,,,,,,,Sclerophoma
hibiscus,arnottianus,Hibiscus,rosasinensis,,,,,,,,,,pityophila
Chinese,var,rosasinensis,hibiscus,,,,,,,,,,Sclerophthora
aute,punaluensis,hibiscus,Chinese,,,,,,,,,,macrospora
flores,Oahu,Chinese,aute,,,,,,,,,,Sclerotinia
rosa,white,aute,flores,,,,,,,,,,borealis
Intsia,hibiscus,flores,rosa,,,,,,,,,,Sclerotinia
bijuga,Hibiscus,rosa,Intsia,,,,,,,,,,bulborum
ifit,rosasinensis,Intsia,bijuga,,,,,,,,,,Sclerotinia
ifil,hibiscus,bijuga,ifit,,,,,,,,,,homoeocarpa
ipil,Chinese,ifit,ifil,,,,,,,,,,Sclerotinia
ifilele,aute,ifil,ipil,,,,,,,,,,minor
dort,flores,ipil,ifilele,,,,,,,,,,Sclerotinia
choyo,rosa,ifilele,dort,,,,,,,,,,sclerotiorum
kubok,Intsia,dort,choyo,,,,,,,,,,Sclerotinia
kuren,bijuga,choyo,kubok,,,,,,,,,,trifoliorum
Ipomea,ifit,kubok,kuren,,,,,,,,,,Sclerotium
pescaprae,ifil,kuren,Ipomea,,,,,,,,,,delphinii
pohuehue,ipil,Ipomea,pescaprae,,,,,,,,,,Sclerotium
beach,ifilele,pescaprae,pohuehue,,,,,,,,,,hydrophilum
morning,dort,pohuehue,beach,,,,,,,,,,Sclerotium
glory,choyo,beach,morning,,,,,,,,,,oryzae
Ischaemum,kubok,morning,glory,,,,,,,,,,Sclerotium
polystachyum,kuren,glory,Ischaemum,,,,,,,,,,rolfsii
